method,label,seed,selected_threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall
baseline_lora,Baseline LoRA,42,0.506447196006775,0.78125,0.782945736434109,0.828125,0.83206106870229,0.813432835820896,0.8515625
baseline_lora,Baseline LoRA,43,0.423376053571701,0.84375,0.855072463768116,0.84765625,0.860215053763441,0.794701986754967,0.9375
baseline_lora,Baseline LoRA,44,0.435377359390259,0.8125,0.823529411764706,0.84375,0.856115107913669,0.793333333333333,0.9296875
baseline_lora,Baseline LoRA,45,0.521404981613159,0.90234375,0.895397489539749,0.8828125,0.880952380952381,0.895161290322581,0.8671875
baseline_lora,Baseline LoRA,46,0.509573817253113,0.69140625,0.677551020408163,0.734375,0.711864406779661,0.777777777777778,0.65625
baseline_lora,Baseline LoRA,47,0.620565533638,0.73828125,0.65989847715736,0.73046875,0.646153846153846,0.940298507462687,0.4921875
baseline_lora,Baseline LoRA,48,0.480058133602142,0.91015625,0.906882591093117,0.88671875,0.884462151394422,0.902439024390244,0.8671875
baseline_lora,Baseline LoRA,49,0.404329240322113,0.88671875,0.881632653061225,0.8515625,0.844262295081967,0.887931034482759,0.8046875
baseline_lora,Baseline LoRA,50,0.511530101299286,0.8671875,0.857142857142857,0.87109375,0.86530612244898,0.905982905982906,0.828125
baseline_lora,Baseline LoRA,51,0.420691877603531,0.91796875,0.916334661354582,0.91015625,0.906882591093117,0.941176470588235,0.875
baseline_lora,Baseline LoRA,52,0.439240843057632,0.765625,0.770992366412214,0.796875,0.811594202898551,0.756756756756757,0.875
baseline_lora,Baseline LoRA,53,0.451921910047531,0.87890625,0.874493927125506,0.85546875,0.85140562248996,0.87603305785124,0.828125
baseline_lora,Baseline LoRA,54,0.490399748086929,0.84375,0.829059829059829,0.8515625,0.838983050847458,0.916666666666667,0.7734375
germ_bo_final_attn_output_classifier,GERM-BO final: attention.output + classifier,42,0.562065005302429,0.90234375,0.898785425101215,0.91015625,0.907630522088353,0.933884297520661,0.8828125
germ_bo_final_attn_output_classifier,GERM-BO final: attention.output + classifier,43,0.164150223135948,0.9140625,0.911290322580645,0.921875,0.921259842519685,0.928571428571429,0.9140625
germ_bo_final_attn_output_classifier,GERM-BO final: attention.output + classifier,44,0.381630808115005,0.84765625,0.847058823529412,0.84765625,0.85171102661597,0.82962962962963,0.875
germ_bo_final_attn_output_classifier,GERM-BO final: attention.output + classifier,45,0.507865369319916,0.92578125,0.923694779116466,0.8984375,0.89922480620155,0.892307692307692,0.90625
